user_id,signup_date,platform,acquisition_channel,country,plan
100001,2026-08-17,Mobile,Paid Search,US,Free
100002,2026-09-07,Mobile,Organic,India,Free
100003,2026-07-26,Mobile,Paid Social,India,Pro Trial
100004,2026-09-06,Mobile,Paid Social,India,Free
100005,2026-07-24,Desktop,Organic,UK,Free
100006,2026-08-27,Mobile,Paid Search,US,Free
100007,2026-07-15,Mobile,Organic,India,Free
100008,2026-07-24,Desktop,Organic,Canada,Free
100009,2026-08-12,Mobile,Referral,Canada,Pro Trial
100010,2026-07-09,Mobile,Paid Search,Canada,Free
100011,2026-08-09,Mobile,Referral,US,Free
100012,2026-09-07,Mobile,Paid Search,India,Pro Trial
100013,2026-08-18,Desktop,Content,US,Free
100014,2026-07-08,Desktop,Paid Search,UK,Free
100015,2026-08-14,Desktop,Organic,UK,Free
100016,2026-07-01,Mobile,Paid Search,India,Free
100017,2026-08-25,Mobile,Organic,India,Free
100018,2026-07-07,Desktop,Referral,India,Free
100019,2026-07-20,Mobile,Paid Search,Canada,Free
100020,2026-08-30,Desktop,Paid Search,UK,Free
100021,2026-08-14,Mobile,Paid Social,India,Free
100022,2026-09-02,Mobile,Paid Social,US,Free
100023,2026-08-26,Desktop,Referral,US,Free
100024,2026-07-25,Mobile,Referral,US,Free
100025,2026-08-25,Mobile,Paid Social,India,Free
100026,2026-08-23,Mobile,Organic,India,Free
100027,2026-08-31,Mobile,Paid Social,Australia,Free
100028,2026-09-03,Mobile,Referral,Canada,Free
100029,2026-08-04,Mobile,Organic,US,Free
100030,2026-08-26,Mobile,Organic,India,Pro Trial
100031,2026-08-08,Mobile,Referral,US,Free
100032,2026-07-05,Desktop,Organic,UK,Pro Trial
100033,2026-07-10,Mobile,Referral,US,Free
100034,2026-09-06,Mobile,Organic,India,Free
100035,2026-08-18,Mobile,Referral,India,Free
100036,2026-07-02,Mobile,Referral,India,Free
100037,2026-09-03,Desktop,Content,India,Free
100038,2026-07-17,Mobile,Paid Social,Australia,Free
100039,2026-08-01,Mobile,Paid Social,US,Free
100040,2026-08-14,Mobile,Referral,India,Pro Trial
100041,2026-07-24,Desktop,Referral,Canada,Pro Trial
100042,2026-07-11,Mobile,Paid Search,India,Free
100043,2026-08-05,Desktop,Referral,Canada,Pro Trial
100044,2026-09-03,Mobile,Paid Search,US,Pro Trial
100045,2026-08-31,Desktop,Organic,India,Free
100046,2026-07-08,Mobile,Organic,UK,Free
100047,2026-07-24,Mobile,Organic,India,Free
100048,2026-07-22,Mobile,Organic,US,Free
100049,2026-08-05,Desktop,Organic,US,Free
100050,2026-09-06,Mobile,Paid Social,India,Pro Trial
100051,2026-07-20,Desktop,Paid Search,UK,Pro Trial
100052,2026-07-28,Desktop,Paid Social,US,Free
100053,2026-07-05,Desktop,Organic,India,Free
100054,2026-07-20,Desktop,Organic,Australia,Free
100055,2026-08-03,Mobile,Organic,UK,Pro Trial
100056,2026-07-31,Mobile,Referral,India,Free
100057,2026-08-27,Desktop,Paid Search,Canada,Free
100058,2026-08-01,Mobile,Referral,India,Free
100059,2026-07-03,Mobile,Paid Search,India,Free
100060,2026-08-20,Mobile,Content,Canada,Free
100061,2026-07-19,Desktop,Paid Search,India,Free
100062,2026-07-22,Desktop,Organic,India,Free
100063,2026-09-06,Mobile,Paid Search,India,Free
100064,2026-08-28,Mobile,Paid Social,UK,Free
100065,2026-08-17,Desktop,Referral,India,Pro Trial
100066,2026-07-17,Mobile,Paid Social,India,Free
100067,2026-07-13,Mobile,Paid Search,India,Free
100068,2026-07-10,Mobile,Paid Social,UK,Free
100069,2026-09-06,Desktop,Organic,India,Free
100070,2026-07-15,Mobile,Organic,India,Pro Trial
100071,2026-07-21,Mobile,Paid Search,US,Pro Trial
100072,2026-08-23,Mobile,Referral,India,Pro Trial
100073,2026-07-16,Mobile,Organic,India,Pro Trial
100074,2026-08-29,Mobile,Paid Search,India,Free
100075,2026-08-05,Mobile,Referral,US,Pro Trial
100076,2026-08-18,Mobile,Organic,India,Free
100077,2026-07-05,Mobile,Organic,Australia,Free
100078,2026-08-13,Desktop,Organic,UK,Free
100079,2026-08-24,Desktop,Paid Social,India,Free
100080,2026-08-13,Mobile,Organic,US,Free
100081,2026-08-20,Mobile,Paid Social,India,Free
100082,2026-08-09,Mobile,Referral,Canada,Free
100083,2026-07-04,Mobile,Paid Search,US,Free
100084,2026-07-30,Desktop,Organic,India,Free
100085,2026-07-13,Desktop,Paid Social,UK,Pro Trial
100086,2026-07-30,Mobile,Organic,India,Free
100087,2026-07-09,Mobile,Paid Social,UK,Free
100088,2026-08-24,Mobile,Paid Search,Australia,Free
100089,2026-08-08,Desktop,Paid Social,US,Pro Trial
100090,2026-07-22,Desktop,Referral,India,Free
100091,2026-08-14,Desktop,Content,India,Pro Trial
100092,2026-07-08,Desktop,Content,India,Free
100093,2026-08-22,Mobile,Paid Social,US,Free
100094,2026-08-11,Desktop,Organic,India,Free
100095,2026-07-30,Mobile,Organic,UK,Free
100096,2026-07-27,Mobile,Paid Social,US,Free
100097,2026-09-03,Mobile,Organic,UK,Free
100098,2026-09-01,Desktop,Paid Social,India,Free
100099,2026-07-13,Mobile,Referral,US,Free
100100,2026-07-07,Mobile,Paid Search,Canada,Free
100101,2026-08-04,Desktop,Paid Social,Australia,Free
100102,2026-08-29,Desktop,Content,India,Free
100103,2026-07-18,Mobile,Paid Search,India,Free
100104,2026-07-06,Desktop,Referral,India,Free
100105,2026-08-19,Mobile,Paid Search,India,Free
100106,2026-08-24,Desktop,Organic,UK,Pro Trial
100107,2026-08-24,Mobile,Content,Canada,Free
100108,2026-08-17,Mobile,Organic,India,Free
100109,2026-08-07,Desktop,Referral,India,Free
100110,2026-07-22,Mobile,Organic,US,Pro Trial
100111,2026-07-05,Mobile,Organic,US,Free
100112,2026-07-07,Mobile,Organic,Canada,Free
100113,2026-07-31,Mobile,Organic,Canada,Free
100114,2026-08-26,Desktop,Organic,India,Free
100115,2026-08-21,Desktop,Referral,Canada,Free
100116,2026-08-25,Mobile,Paid Search,India,Free
100117,2026-07-13,Desktop,Content,Canada,Free
100118,2026-08-06,Desktop,Referral,India,Pro Trial
100119,2026-08-28,Mobile,Referral,Canada,Free
100120,2026-08-11,Mobile,Paid Social,India,Free
100121,2026-07-16,Mobile,Paid Search,US,Free
100122,2026-08-13,Desktop,Organic,India,Free
100123,2026-08-29,Mobile,Organic,Australia,Free
100124,2026-09-02,Mobile,Content,India,Pro Trial
100125,2026-07-29,Mobile,Organic,US,Free
100126,2026-07-17,Mobile,Organic,US,Free
100127,2026-07-06,Desktop,Organic,India,Free
100128,2026-08-05,Desktop,Paid Search,US,Pro Trial
100129,2026-08-02,Mobile,Organic,India,Free
100130,2026-08-03,Mobile,Organic,India,Free
100131,2026-08-15,Mobile,Paid Search,India,Free
100132,2026-08-10,Mobile,Organic,India,Free
100133,2026-07-15,Mobile,Referral,US,Pro Trial
100134,2026-08-15,Mobile,Paid Social,India,Free
100135,2026-08-12,Mobile,Organic,US,Pro Trial
100136,2026-08-04,Mobile,Organic,India,Free
100137,2026-08-25,Desktop,Paid Search,Australia,Pro Trial
100138,2026-07-19,Desktop,Organic,Canada,Free
100139,2026-07-10,Mobile,Paid Search,US,Free
100140,2026-07-14,Desktop,Content,India,Pro Trial
100141,2026-08-13,Mobile,Paid Social,UK,Free
100142,2026-07-02,Mobile,Paid Search,India,Free
100143,2026-08-01,Mobile,Referral,US,Pro Trial
100144,2026-07-15,Mobile,Paid Search,India,Free
100145,2026-08-18,Desktop,Paid Social,US,Free
100146,2026-07-26,Desktop,Organic,UK,Free
100147,2026-08-03,Mobile,Paid Search,India,Pro Trial
100148,2026-09-03,Mobile,Organic,India,Free
100149,2026-08-28,Desktop,Referral,UK,Free
100150,2026-07-11,Desktop,Organic,India,Pro Trial
100151,2026-08-22,Mobile,Paid Search,India,Free
100152,2026-07-28,Desktop,Paid Social,US,Free
100153,2026-07-29,Mobile,Content,Australia,Pro Trial
100154,2026-07-09,Mobile,Content,UK,Free
100155,2026-08-14,Desktop,Organic,US,Free
100156,2026-08-21,Mobile,Paid Search,India,Free
100157,2026-08-24,Mobile,Paid Search,India,Free
100158,2026-08-12,Mobile,Organic,US,Free
100159,2026-07-08,Mobile,Paid Social,Canada,Free
100160,2026-07-16,Mobile,Content,US,Free
100161,2026-07-01,Mobile,Organic,US,Free
100162,2026-08-18,Desktop,Organic,US,Free
100163,2026-09-03,Mobile,Organic,India,Free
100164,2026-08-14,Mobile,Paid Search,India,Free
100165,2026-07-10,Desktop,Paid Search,US,Pro Trial
100166,2026-08-16,Mobile,Paid Search,UK,Free
100167,2026-08-26,Desktop,Referral,India,Free
100168,2026-08-18,Mobile,Organic,UK,Pro Trial
100169,2026-08-13,Mobile,Organic,India,Pro Trial
100170,2026-07-06,Mobile,Referral,UK,Free
100171,2026-07-22,Mobile,Organic,US,Free
100172,2026-07-17,Mobile,Organic,India,Free
100173,2026-07-12,Desktop,Organic,India,Free
100174,2026-08-02,Mobile,Paid Social,US,Free
100175,2026-08-10,Mobile,Paid Search,India,Pro Trial
100176,2026-08-06,Mobile,Paid Search,India,Free
100177,2026-07-29,Desktop,Paid Social,India,Free
100178,2026-08-19,Mobile,Paid Search,India,Free
100179,2026-08-31,Mobile,Paid Search,India,Free
100180,2026-08-22,Mobile,Content,US,Free
100181,2026-07-08,Desktop,Paid Social,India,Pro Trial
100182,2026-08-28,Desktop,Paid Search,India,Free
100183,2026-08-20,Desktop,Paid Social,US,Free
100184,2026-08-18,Desktop,Paid Social,Canada,Pro Trial
100185,2026-08-17,Desktop,Paid Social,India,Free
